event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
USA80227,"22 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Serbian Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,VOA,International,"On 22 December 2024, fifty demonstrators, including members of the Serbian diaspora, rallied at the US Capitol in Washington DC - National Mall (District of Columbia) in support of demonstrating students in Serbia and to pay tribute to the victims of the collapse of the train station canopy in Novi Sad.",0,"crowd size=fifty",1744148740
USA75632,"17 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","CASA; Latin American Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,Twitter,"New media","On 17 December 2024, members of CASA gathered in Washington DC - National Mall (District of Columbia) to call for protection for immigrants, TPS, and DACA and against deportation.",0,"crowd size=no report",1737435898
USA75631,"17 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","DEM: Democratic Party; Government of the United States (2021-2025); Turkish Ethnic Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,HuffPost,International,"On 17 December 2024, family members of a Turkish-American journalist gathered in Washington DC - National Mall (District of Columbia) to call for justice and accountability in her death. The journalist was killed while reporting in Palestine, likely by an Israeli soldier. Demonstrators also called for an end to US weapons to Israel. Representative Delia Ramirez (D) spoke at the event. The demonstration took place amid the Israel-Hamas war which began in October 2023.",0,"crowd size=no report",1737495706
USA75687,"16 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Latin American Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"NBC4 (Washington D.C.)",Subnational,"On 16 December 2024, a group of Central American immigrants gathered in Washington DC (District of Columbia) to call for Temporary Protected Status to be renewed. Some demonstrators also began a hunger strike.",0,"crowd size=no report",1737435898
USA75277,"12 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Asian American Group (United States); Filipino Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"Liberation News",Other,"Around 12 December 2024 (week of), Filipino organizations marched in Washington DC (District of Columbia) to protest against human rights abuses by the government of the Philippines. Demonstrators also called for the US to leave the Philippines.",0,"crowd size=no report",1734479956
USA75271,"12 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (United States)","Climate Defiance",Protesters,"Police Forces of the United States (2021-2025) Department of Homeland Security",,"State forces","State forces-Protesters",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Southwest",38.8743,-77.0204,1,News2Share,"New media","On 12 December 2024, demonstrators, including members of Climate Defiance, rallied and blocked the entrances of the Department of Energy building in Washington DC - Southwest (District of Columbia) to demand that President Joe Biden cancel permits for Liquified Natural Gas plants and exports, and end the use of fossil fuels. Homeland Security Officers arrested 13 demonstrators.",0,"crowd size=no report",1737495706
USA75292,"12 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (United States)","Climate Defiance",Protesters,"Police Forces of the United States (2021-2025) Department of Homeland Security",,"State forces","State forces-Protesters",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Northeast",38.9098,-76.9761,1,"Democracy Now!; News2Share","New media-National","On 12 December 2024, a group of people gathered in front of the Department of Energy in Washington DC - Northeast (District of Columbia) to protest against authorizations of new liquified natural gas export terminals. The Department of Homeland Security Police arrested 13 people.",0,"crowd size=no report",1737495706
USA75289,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Washington Examiner",Subnational,"On 11 December 2024, pro-Palestinian protesters interrupted a Senate hearing for Secretary of State Anthony Blinken in Washington DC - National Mall (District of Columbia) to support Palestine and accuse Blinken of abetting 'genocide' in Gaza. The demonstration took place amid the Israel-Hamas war which began in October 2023.",0,"crowd size=no report",1734479956
USA75290,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Northwest",38.9381,-77.0451,1,"Democracy Now!; The Debt Collective",Other-National,"On 11 December 2024, a group of student loan borrowers over age 50 gathered in front of the department of education in Washington DC - Northwest (District of Columbia) to call for student debt cancellation. Demonstrators brought knitting needles and yarn and called for debt relief before they die.",0,"crowd size=no report",1734479956
USA75279,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","AFGE: American Federation of Government Employees; AFL-CIO: American Federation of Labor and Congress of Industrial Organizations; AFSCME: American Federation of State, County and Municipal Employees; AFT: American Federation of Teachers; CWA: Communications Workers of America; DEM: Democratic Party; GOP: Republican Party; Government of the United States (2021-2025); Labor Group (United States); NALC: National Association of Letter Carriers; NEA: National Education Association; SEIU: Service Employees International Union; Teachers (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"AFSCME; AFT; IAFF; NEA; SEIU; USA Today",Other-National,"On 11 December 2024, union members belonging to AFT, NEA, AFSCME, AIFF (Affiliated with AFL-CIO), NALC, CWA, FOP, AFGE, and SEIU gathered in Washington DC - National Mall (District of Columbia) to support the Social Security Fairness Act. Senators Chuck Schumer (D), Elizabeth Warren (D), Jack Reed (D) and Representatives Abigail Spanberger (D), Garrett Graves (R), Greg Landsman (D), and Pete Stauber (R) participated in the event.",0,"crowd size=no report",1737495706
USA75288,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Live 5 (Charleston); WHSV-TV3; WMBF",National,"On 10 December 2024, parents and children gathered on Capitol Hill in Washington DC - National Mall (District of Columbia) to call for the passage of the Kids Online Safety Act.",0,"crowd size=no report",1734479956
USA75278,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","DEM: Democratic Party; Government of the United States (2021-2025)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Democracy Now!; Post Millennial",National-Regional,"On 10 December 2024, a group of people, including congressmembers Ayanna Pressley (D), Cori Bush (D), and Adriano Espaillat (D), gathered near the Capitol in Washington DC - National Mall (District of Columbia) to call for Biden to commute the sentences of 40 federal death row prisoners.",0,"crowd size=no report",1737495706
USA75291,"10 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (United States)","DEM: Democratic Party; Government of the United States (2021-2025); Women (United States)",Protesters,"Police Forces of the United States (2021-2025) Capitol Police",,"State forces","State forces-Protesters",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Democracy Now!; Washington Examiner",Subnational-National,"On 10 December 2024, a group of people gathered in front of the Capitol in Washington DC - National Mall (District of Columbia) to urge the passage of the Equal Rights Amendment. Capitol Police arrested several demonstrators who were blocking a road. Representative Cori Bush (D) participated in the demonstration.",0,"crowd size=no report",1737495706
USA75306,"09 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Bangladeshi Group (United States); Hindu Group (United States); Indian Group (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"The Hindu",International,"On 9 December 2024, a large number of people, including Bangladeshi Americans and Indian Americans, marched from the White House to the Capitol in Washington DC - National Mall (District of Columbia) to call for more protections for Bangladeshi Hindus and for companies to boycott garments from Bangladesh. Members of StopHinduGenocide and Hinduaction were present.",0,"crowd size=no report",1734479956
USA75146,"05 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","African American Group (United States); Protestant Christian Group (United States); SCLC: Southern Christian Leadership Conference",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Fox45 (Baltimore)",National,"On 5 December 2024, a group of people with the Southern Christian Leadership Conference gathered in front of the White House in Washington DC - National Mall (District of Columbia) to call for Biden to pardon the former Baltimore City State Attorney who used coronavirus-era provisions to withdraw money to buy a house. Protesters say she was selectively prosecuted because she prosecuted 'corrupt' police officers in Baltimore.",0,"crowd size=no report",1733860851
USA75145,"05 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (United States)","Former Military Forces of the United States (2021-2025); LGBTQ+ (United States)",Protesters,"Police Forces of the United States (2021-2025) Capitol Police",,"State forces","State forces-Protesters",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Southeast",38.8689,-76.9763,1,"Democracy Now!; Fox News; Hill; Latin Times; Twitter; USA Today; WYFF4; Yahoo News","New media-Subnational","On 5 December 2024, 25 transgender people, including veterans, with the Gender Liberation Movement gathered by a bathroom near Representative Mike Johnson's office in Washington DC - Southeast (District of Columbia) to protest against a bill to prohibit transgender people from bathrooms that match their gender identity on federal property. Capitol police arrested around 15 people for crowding and illegally protesting.",0,"crowd size=25",1737495706
USA75124,"04 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","African American Group (United States); Christian Group (United States); DEM: Democratic Party; Government of the United States (2021-2025); Jewish Group (United States); Latin American Group (United States); Lawyers (United States); LGBTQ+ (United States); NAACP: National Association for the Advancement of Colored People; PP: Planned Parenthood; PSL: Party for Socialism and Liberation; Students (United States); Women (United States)",Protesters,"Protesters (United States)","Catholic Christian Group (United States); Christian Group (United States); GAG: Gays Against Groomers; GOP: Republican Party; Government of the United States (2021-2025); Women (United States)",Protesters,Protesters-Protesters,,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"ABC News; Fox News; It's Going Down; Liberation News; NBC News; News2Share; Religion News Service; Rolling Stone; Twitter; Unicorn Riot; USA Today; Washington Blade","Other-New media","On 4 December 2024, demonstrators, including members of the LGBTQ+ and Latin American communities, as well as students, rallied outside of the Supreme Court in Washington DC - National Mall (District of Columbia) in support of transgender rights, immigration, and reproductive rights, including access to abortion. Organizations that participated at the rally include Lambda Legal, National LGBTQ Task Force, Freedom Center for Social Justice, PFLAG, National Trans Bar Association, the PSL, Mama Dragons, Advocates for Trans Equality, GLAAD, SMYAL, Transinclusive Group, Gender Liberation Movement, Human Rights Watch, Planned Parenthood, Trans Law Center and the NAACP. Rep. Mark Takano (D), Sen. Ed Markey (D), and Sen. Jeff Merkley (D) spoke at the rally, as did a Christian reverend. After arguments at the Court, a transgender lawyer who presented arguments inside, came out and joined the crowd. A counter-demonstration, including members of Gays Against Groomers, gathered to demonstrate against gender-affirming care for children. Rep. Marjorie Taylor Greene (R) spoke at the rally. Democrats Against Puberty Blockers, Christians, Catholic Vote, Alliance Defending Freedom, LGB Alliance, and Moms Against Mastectomies for Minors also joined.",0,"counter-demonstration; crowd size=no report",1737495706
USA75143,"04 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","DEM: Democratic Party; Former Military Forces of the United States (2021-2025); Government of the United States (2021-2025)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Southeast",38.8689,-76.9763,1,"The Debt Collective",Other,"On 4 December 2024, members of The Debt Collective and other student loan borrowers, including veterans, marched from the National Mall to the Department of Education in Washington DC - Southeast (District of Columbia) to call for Biden to cancel student debt. Senators Ed Markey (D) and Dick Durbin (D) and Representative Maxine Waters (D) joined the demonstration.",0,"crowd size=no report",1737495706
USA75661,"03 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Health Workers (United States)",Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Northwest",38.9381,-77.0451,1,"Washington Post",Subnational,"On 3 December 2024, doctors at George Washington Hospital gathered outside their workplace in Washington DC - Northwest (District of Columbia) to demonstrate readiness to strike for higher wages, more vacation, and more money for mental health care.",0,"crowd size=no report",1737435898
USA74933,"19 November 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (United States)","Former Military Forces of the United States (2021-2025); Health Workers (United States); Jewish Group (United States); JVP: Jewish Voice for Peace; Students (United States); Teachers (United States); Women (United States)",Protesters,"Police Forces of the United States (2021-2025) Capitol Police",,"State forces","State forces-Protesters",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - Northeast",38.9098,-76.9761,1,"Common Dreams; Democracy Now!; Fox News",National,"On 19 November 2024, pro-Palestinian healthcare workers, mothers, educators, students, veterans, and members of Jewish Voice for Peace gathered in the Hart Senate Office Building in Washington DC - Northeast (District of Columbia) to call for 'free Palestine' and an end to arms to Israel and for Congress to fund action on climate, education, healthcare, housing, and jobs, rather than 'genocide.' Capitol Police arrested at least 44 of the protesters for obstructing roadways. Two of them were also charged with assault on a police officer. The demonstration took place amid the Israel-Hamas war which began in October 2023.",0,"crowd size=no report",1737495706
USA74932,"17 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,WCAU,National,"On 17 November 2024, a group of people gathered in Washington DC (District of Columbia) to call for climate action before Trump takes office.",0,"crowd size=no report",1732655175
USA74689,"13 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States","District of Columbia","District of Columbia",,"Washington DC - National Mall",38.8875,-77.0364,1,"Washington Times",Subnational,"On 13 November 2024, roughly a dozen Trump supporters gathered in front of the White House in Washington DC - National Mall (District of Columbia) to support Trump.",0,"crowd size=roughly a dozen",1732047043
